INDEX, TIME STAMP, TIME (ms), DEV 1 INPUT 1, DEV 1 INPUT 2, DEV 1 INPUT 3, DEV 1 INPUT 4,
0,11/7/2024 13:02:15,500,0.02,0.000,0.00,1.69,
1,11/7/2024 13:02:16,1000,0.02,0.000,0.00,1.69,
2,11/7/2024 13:02:17,1500,0.02,0.000,0.00,1.69,
3,11/7/2024 13:02:17,2000,0.02,0.000,0.00,1.69,
4,11/7/2024 13:02:18,2500,0.02,0.000,0.00,1.73,
5,11/7/2024 13:02:18,3000,0.02,0.000,0.00,1.73,
6,11/7/2024 13:02:19,3500,0.02,0.000,0.00,1.69,
7,11/7/2024 13:02:19,4000,0.02,0.000,0.00,1.69,
8,11/7/2024 13:02:20,4500,0.02,0.000,0.00,1.69,
9,11/7/2024 13:02:20,5000,0.02,0.000,0.00,1.69,
10,11/7/2024 13:02:21,5500,0.02,0.000,0.00,1.69,
11,11/7/2024 13:02:21,6000,0.02,0.000,0.00,1.69,
12,11/7/2024 13:02:22,6500,0.02,0.000,0.00,1.69,
13,11/7/2024 13:02:22,7000,0.02,0.000,0.00,1.69,
14,11/7/2024 13:02:23,7500,0.02,0.000,0.00,1.69,
15,11/7/2024 13:02:23,8000,0.02,0.000,0.00,1.69,
16,11/7/2024 13:02:24,8500,0.02,0.000,0.00,1.69,
17,11/7/2024 13:02:24,9000,0.02,0.000,0.00,1.69,
18,11/7/2024 13:02:25,9500,0.02,0.000,0.00,1.69,
19,11/7/2024 13:02:26,10000,0.02,0.000,0.00,1.69,
20,11/7/2024 13:02:26,10500,0.02,0.000,0.00,1.69,
21,11/7/2024 13:02:27,11000,0.02,0.000,0.00,1.69,
22,11/7/2024 13:02:27,11500,0.02,0.000,0.00,1.69,
23,11/7/2024 13:02:28,12000,0.02,0.000,0.00,1.69,
24,11/7/2024 13:02:28,12500,0.02,0.000,0.00,1.69,
25,11/7/2024 13:02:29,13000,0.02,0.000,0.00,1.69,
26,11/7/2024 13:02:29,13500,0.02,0.000,0.00,1.69,
27,11/7/2024 13:02:30,14000,0.02,0.000,0.00,1.69,
28,11/7/2024 13:02:30,14500,0.02,0.000,0.00,1.69,
29,11/7/2024 13:02:31,15000,0.02,0.000,0.00,1.69,
30,11/7/2024 13:02:31,15500,0.02,0.000,0.00,1.69,
31,11/7/2024 13:02:32,16000,0.02,0.000,0.00,1.69,
32,11/7/2024 13:02:32,16500,0.02,0.000,0.00,1.69,
33,11/7/2024 13:02:33,17000,0.02,0.000,0.00,1.69,
34,11/7/2024 13:02:33,17500,0.02,0.000,0.00,1.69,
35,11/7/2024 13:02:34,18000,0.02,0.000,0.00,1.69,
36,11/7/2024 13:02:34,18500,0.02,0.000,0.00,1.69,
